Class_number;Size_Class_average;Size_Class_spread;Velocity_Class_average;Velocity_Class_spread
1;0.062;0.125;0.050;0.100
2;0.187;0.125;0.150;0.100
3;0.312;0.125;0.250;0.100
4;0.437;0.125;0.350;0.100
5;0.562;0.125;0.450;0.100
6;0.687;0.125;0.550;0.100
7;0.812;0.125;0.650;0.100
8;0.937;0.125;0.750;0.100
9;1.062;0.125;0.850;0.100
10;1.187;0.125;0.950;0.100
11;1.375;0.250;1.100;0.200
12;1.625;0.250;1.300;0.200
13;1.875;0.250;1.500;0.200
14;2.125;0.250;1.700;0.200
15;2.375;0.250;1.900;0.200
16;2.750;0.500;2.200;0.400
17;3.250;0.500;2.600;0.400
18;3.750;0.500;3.000;0.400
19;4.250;0.500;3.400;0.400
20;4.750;0.500;3.800;0.400
21;5.500;1.000;4.400;0.800
22;6.500;1.000;5.200;0.800
23;7.500;1.000;6.000;0.800
24;8.500;1.000;6.800;0.800
25;9.500;1.000;7.600;0.800
26;11.000;2.000;8.800;1.600
27;13.000;2.000;10.400;1.600
28;15.000;2.000;12.000;1.600
29;17.000;2.000;13.600;1.600
30;19.000;2.000;15.200;1.600
31;21.500;3.000;17.600;3.200
32;24.500;3.000;20.800;3.200
